5208 - PLAZA MATHEU	 	 Emitido el 01/10/2025 	 	 Frecuencia: MENSUAL
NADAL Y ZACCARO SA	 	CUIT	30657033770	 CBU: 0140191801520805008070
	 			   CUENTA CORRIENTE EN PESOS
	 			   2-CTA CTE PERSONA JURIDICA
	 			 50080/7
7 ESQ.63 1500
LA PLATA	 	 	 	 Cantidad de Titulares: 001
----------------------------------------------------------------------------------------------------------- 
----------------------------------------------------------------------------------------------------------- 
FECHA,CONCEPTO,IMPORTE,Fecha Valor,Saldo
29/08/2025,SALDO ANTERIOR,0,,41793779.59 
01/09/2025,CR.DEBIN 30/08-S.841897 C:30657033770,2475.80,01-09,41796255.39 
01/09/2025,IMPUESTO CREDITO -LEY 25413,-14.85,01-09,41796240.54 
01/09/2025,RETENCION ARBA,-61.80,01-09,41796178.74 
01/09/2025,IMPUESTO DEBITO -LEY 25413,-0.37,01-09,41796178.37 
01/09/2025,CR.DEBIN 30/08-S.609565 C:30657033770,5644.82,01-09,41801823.19 
01/09/2025,IMPUESTO CREDITO -LEY 25413,-33.87,01-09,41801789.32 
01/09/2025,RETENCION ARBA,-141.10,01-09,41801648.22 
01/09/2025,IMPUESTO DEBITO -LEY 25413,-0.85,01-09,41801647.37 
01/09/2025,CR.TRAN. 30710100140 CCT CONICET LA PLATA,48780.17,01-09,41850427.54 
01/09/2025,IMPUESTO CREDITO -LEY 25413    4930,-292.68,01-09,41850134.86 
01/09/2025,RETENCION ARBA                 4930,-1219.50,01-09,41848915.36 
01/09/2025,IMPUESTO DEBITO -LEY 25413     4930,-7.32,01-09,41848908.04 
01/09/2025,CR.TRAN. 30710100140 CCT CONICET LA PLATA,69334.71,01-09,41918242.75 
01/09/2025,IMPUESTO CREDITO -LEY 25413    4930,-416.01,01-09,41917826.74 
01/09/2025,RETENCION ARBA                 4930,-1733.30,01-09,41916093.44 
01/09/2025,IMPUESTO DEBITO -LEY 25413     4930,-10.40,01-09,41916083.04 
01/09/2025,CR.TRAN. 30710100140 CCT CONICET LA PLATA,36634.30,01-09,41952717.34 
01/09/2025,IMPUESTO CREDITO -LEY 25413    4930,-219.81,01-09,41952497.53 
01/09/2025,RETENCION ARBA                 4930,-915.80,01-09,41951581.73 
01/09/2025,IMPUESTO DEBITO -LEY 25413     4930,-5.49,01-09,41951576.24 
01/09/2025,CR.TRAN. 30574816870 AMERICAN EXPRESS,59739.27,01-09,42011315.51 
01/09/2025,IMPUESTO CREDITO -LEY 25413    0001,-358.44,01-09,42010957.07 
01/09/2025,RETENCION ARBA                 0001,-1493.40,01-09,42009463.67 
01/09/2025,IMPUESTO DEBITO -LEY 25413     0001,-8.96,01-09,42009454.71 
01/09/2025,CR.DEBIN 01/09-S.203247 C:30657033770,7229.34,01-09,42016684.05 
01/09/2025,IMPUESTO CREDITO -LEY 25413,-43.38,01-09,42016640.67 
01/09/2025,RETENCION ARBA,-180.70,01-09,42016459.97 
01/09/2025,IMPUESTO DEBITO -LEY 25413,-1.08,01-09,42016458.89 
01/09/2025,DEB LOTE ZACCARO FABIAN,-11432532.51,01-09,30583926.38 
01/09/2025,IMPUESTO DEBITO -LEY 25413                           200014520,-68595.20,01-09,30515331.18 
01/09/2025,PAGOS A COMERCIOS VISA - L. 0000246146 - C. 00003907330,628158.71,01-09,31143489.89 
01/09/2025,IMPUESTO CREDITO -LEY 25413    1002 MEDIOS DE PAGO,-3768.95,01-09,31139720.94 
01/09/2025,RETENCION ARBA                 1002 MEDIOS DE PAGO,-15703.90,01-09,31124017.04 
01/09/2025,IMPUESTO DEBITO -LEY 25413     1002 MEDIOS DE PAGO,-94.22,01-09,31123922.82 
01/09/2025,PAGOS A COMERCIOS MASTERCARD - L. 0000246193 - C. 00003907330,160878.63,01-09,31284801.45 
01/09/2025,IMPUESTO CREDITO -LEY 25413    1002 MEDIOS DE PAGO,-965.27,01-09,31283836.18 
01/09/2025,RETENCION ARBA                 1002 MEDIOS DE PAGO,-4021.90,01-09,31279814.28 
01/09/2025,IMPUESTO DEBITO -LEY 25413     1002 MEDIOS DE PAGO,-24.13,01-09,31279790.15 
01/09/2025,PAGOS A COMERCIOS VISA - L. 0000246239 - C. 00003907330,109498.04,01-09,31389288.19 
01/09/2025,IMPUESTO CREDITO -LEY 25413    1002 MEDIOS DE PAGO,-656.99,01-09,31388631.20 
01/09/2025,RETENCION ARBA                 1002 MEDIOS DE PAGO,-2737.40,01-09,31385893.80 
01/09/2025,IMPUESTO DEBITO -LEY 25413     1002 MEDIOS DE PAGO,-16.42,01-09,31385877.38 
01/09/2025,PAGOS A COMERCIOS MASTERCARD - L. 0000246123 - C. 00003907330,18144.98,01-09,31404022.36 
01/09/2025,IMPUESTO CREDITO -LEY 25413    1002 MEDIOS DE PAGO,-108.87,01-09,31403913.49 
01/09/2025,RETENCION ARBA                 1002 MEDIOS DE PAGO,-453.60,01-09,31403459.89 
01/09/2025,IMPUESTO DEBITO -LEY 25413     1002 MEDIOS DE PAGO,-2.72,01-09,31403457.17 
01/09/2025,CARGO A COMERCIOS MASTERCARD - L. 0000246050 - C. 00003907330,-366.00,01-09,31403091.17 
01/09/2025,CR.DEBIN 01/09-S.509428 C:30657033770,28719.28,01-09,31431810.45 
01/09/2025,IMPUESTO CREDITO -LEY 25413,-172.32,01-09,31431638.13 
01/09/2025,RETENCION ARBA,-717.90,01-09,31430920.23 
01/09/2025,IMPUESTO DEBITO -LEY 25413,-4.31,01-09,31430915.92 
01/09/2025,CDNI 01/09-C.047244 D:20322795654 N:ANDRADE, MANUEL AGUS,300000.00,01-09,31730915.92 
01/09/2025,IMPUESTO CREDITO -LEY 25413,-1800.00,01-09,31729115.92 
01/09/2025,RETENCION ARBA,-7500.00,01-09,31721615.92 
01/09/2025,IMPUESTO DEBITO -LEY 25413,-45.00,01-09,31721570.92 
01/09/2025,CR.DEBIN 01/09-S.040069 C:30657033770,9903.20,01-09,31731474.12 
01/09/2025,IMPUESTO CREDITO -LEY 25413,-59.42,01-09,31731414.70 
01/09/2025,RETENCION ARBA,-247.50,01-09,31731167.20 
01/09/2025,IMPUESTO DEBITO -LEY 25413,-1.49,01-09,31731165.71 
01/09/2025,CR.TRAN. 30624944255ETESORERIA GENERAL PCIA BS 00D00,256207.21,01-09,31987372.92 
01/09/2025,IMPUESTO CREDITO -LEY 25413    2000 REGION Y CASA MATRIZ LA P,-1537.24,01-09,31985835.68 
01/09/2025,RETENCION ARBA                 2000 REGION Y CASA MATRIZ LA P,-6405.10,01-09,31979430.58 
01/09/2025,IMPUESTO DEBITO -LEY 25413     2000 REGION Y CASA MATRIZ LA P,-38.43,01-09,31979392.15 
01/09/2025,CR.TRA. COL DE FARMACE 30550857061BCO. 014 REF.VAR 0000007060,1342180.00,01-09,33321572.15 
01/09/2025,IMPUESTO CREDITO -LEY 25413    5015 CALLE 12 (LA PLATA),-8053.08,01-09,33313519.07 
01/09/2025,RETENCION ARBA                 5015 CALLE 12 (LA PLATA),-33554.50,01-09,33279964.57 
01/09/2025,IMPUESTO DEBITO -LEY 25413     5015 CALLE 12 (LA PLATA),-201.33,01-09,33279763.24 
01/09/2025,FEDERACION PATR RE.212344904 ID.0803339648000000250725,-12554.00,01-09,33267209.24 
01/09/2025,IMPUESTO DEBITO -LEY 25413     1989 DEBITO DIRECTO Y AUTOMATI,-75.32,01-09,33267133.92 
01/09/2025,FEDERACION PATR RE.212429343 ID.1300404757000000310825,-26770.02,01-09,33240363.90 
01/09/2025,IMPUESTO DEBITO -LEY 25413     1989 DEBITO DIRECTO Y AUTOMATI,-160.62,01-09,33240203.28 
01/09/2025,FEDERACION PATR RE.212436792 ID.1300370286000000270825,-19515.03,01-09,33220688.25 
01/09/2025,IMPUESTO DEBITO -LEY 25413     1989 DEBITO DIRECTO Y AUTOMATI,-117.09,01-09,33220571.16 
01/09/2025,REVERSA RETENCION ARBA,6405.10,01-09,33226976.26 
01/09/2025,REV. IMP.DEBITO.-LEY 25413,38.43,01-09,33227014.69 
