5208 - PLAZA MATHEU	 	 Emitido el 05/05/2025 	 	 Frecuencia: MENSUAL
NADAL Y ZACCARO SA	 	CUIT	30657033770	 CBU: 0140191801520805008070
	 			   CUENTA CORRIENTE EN PESOS
	 			   2-CTA CTE PERSONA JURIDICA
	 			 50080/7
7 ESQ.63 1500
LA PLATA	 	 	 	 Cantidad de Titulares: 001
----------------------------------------------------------------------------------------------------------- 
----------------------------------------------------------------------------------------------------------- 
FECHA,CONCEPTO,IMPORTE,Fecha Valor,Saldo
31/03/2025,SALDO ANTERIOR,0,,56137491.69 
01/04/2025,CR.DEBIN 31/03-S.388642 C:30657033770,34661.20,01-04,56172152.89 
01/04/2025,CR.DEBIN 31/03-S.383107 C:30657033770,6338.05,01-04,56178490.94 
01/04/2025,CHEQUE DE CAMARA 005869880,-1765856.07,01-04,54412634.87 
01/04/2025,IMPUESTO DEBITO -LEY 25413     1950 COMPENSACION DE VALORES,-10595.14,01-04,54402039.73 
01/04/2025,CHEQUE DE CAMARA 005869886,-2131410.47,01-04,52270629.26 
01/04/2025,IMPUESTO DEBITO -LEY 25413     1950 COMPENSACION DE VALORES,-12788.46,01-04,52257840.80 
01/04/2025,CHEQUE DE CAMARA 009687398,-1765195.00,01-04,50492645.80 
01/04/2025,IMPUESTO DEBITO -LEY 25413     1950 COMPENSACION DE VALORES,-10591.17,01-04,50482054.63 
01/04/2025,CHEQUE DE CAMARA 009687406,-1897414.09,01-04,48584640.54 
01/04/2025,IMPUESTO DEBITO -LEY 25413     1950 COMPENSACION DE VALORES,-11384.48,01-04,48573256.06 
01/04/2025,CR.TRAN. 30574816870 AMERICAN EXPRESS,18045.25,01-04,48591301.31 
01/04/2025,IMPUESTO CREDITO -LEY 25413    0001,-108.27,01-04,48591193.04 
01/04/2025,RETENCION ARBA                 0001,-451.10,01-04,48590741.94 
01/04/2025,IMPUESTO DEBITO -LEY 25413     0001,-2.71,01-04,48590739.23 
01/04/2025,CR.DEBIN 01/04-S.550023 C:30657033770,7415.52,01-04,48598154.75 
01/04/2025,IMPUESTO CREDITO -LEY 25413,-44.49,01-04,48598110.26 
01/04/2025,RETENCION ARBA,-185.30,01-04,48597924.96 
01/04/2025,IMPUESTO DEBITO -LEY 25413,-1.11,01-04,48597923.85 
01/04/2025,PAGOS A COMERCIOS VISA - L. 0000227746 - C. 00003907330,1489467.28,01-04,50087391.13 
